seed,policy,mae,rmse,overshoot
88,TD3-1,0.2266709645497829,0.8404453779224765,14.683195728101424
26,Expert,2.280183917512923,3.115576478184001,19.48354373513503
26,DDPG-1,0.240194495528144,0.9472342069473808,14.79065733560509
26,DDPG-2,0.3103286384684695,0.978379549066803,14.722205601680628
26,TD3-1,0.2344204418633202,0.9373280755126482,14.78940813846134
83,Expert,1.7601991471750758,2.605894333739597,14.71802395103886
83,DDPG-1,0.2001616098474494,0.7874365312199894,14.66861200740263
83,DDPG-2,0.212440663260813,0.902040879349814,14.721389516700595
83,TD3-1,0.1964379722824811,0.7810454042230957,14.669382015884947
51,Expert,2.412289540425476,3.4219202947562097,21.443155258328005
51,DDPG-1,0.2523970779142103,0.9668116256046664,14.687047638134615
51,DDPG-2,0.2745323108291952,0.9889886898724172,14.702305128833729
51,TD3-1,0.2468043931212147,0.9563280935186012,14.68649174334152
18,Expert,1.4066736072831751,2.394861861954276,15.361587165492836
18,DDPG-1,0.1458102453685227,0.7772720695675177,14.709126219403686
18,DDPG-2,0.1577447074207124,0.8720828117192009,14.70781530324335
18,TD3-1,0.1426048507139683,0.7718436816609087,14.70917810183505
68,Expert,1.9583797682067856,2.9775093920785225,17.13795654049244
68,DDPG-1,0.1949806608773101,0.8706390362073538,14.701419661482165
68,DDPG-2,0.2513717641701541,1.0300112582333438,14.7057858701979
68,TD3-1,0.1902819073844626,0.8628538603870666,14.701496012887716
86,Expert,1.8538213877439853,2.824898963989446,17.98034517475311
86,DDPG-1,0.2582325036284926,1.1271152458206606,14.770832089052249
86,DDPG-2,0.2466290085196084,1.1587511944866662,14.762237006108563
86,TD3-1,0.2517624373021358,1.1175662085136329,14.7700388627254
33,Expert,2.0774202266997293,2.9122230958819597,22.505267578422945
33,DDPG-1,0.2025314622937316,0.8591922128637501,14.714591472453137
33,DDPG-2,0.2254380271960795,0.887955889988885,14.710463214628234
33,TD3-1,0.1977628096473993,0.8495420102099174,14.714606507858448
47,Expert,1.9748661691703089,2.9375395571866143,21.484561095825967
47,DDPG-1,0.2260203954551257,0.9710445700617112,14.758921459153228
47,DDPG-2,0.2438244733053012,1.0065182344391366,14.734507330817197
47,TD3-1,0.2204011070622407,0.9611981272198542,14.75912141216817
99,Expert,1.5414110486547132,2.5523820233716257,14.967747209015611
99,DDPG-1,0.1751101680636051,0.7859071875218239,14.712722198844318
99,DDPG-2,0.1654898210094406,0.7933368888601401,14.697204497809151
99,TD3-1,0.1714329309454281,0.7791198801372463,14.712390915308504
57,Expert,2.2066165468235743,3.0399220513938805,16.195068664526787
57,DDPG-1,0.2431317822971236,0.9959616119792372,14.759672004073266
57,DDPG-2,0.2608376032400011,1.010455592068576,14.752866989480664
57,TD3-1,0.2371423803622619,0.9862396378101342,14.759518982287505
52,Expert,2.0900107844433893,3.057795474647496,16.744952366838987
52,DDPG-1,0.2459166163623843,1.0037790808591616,14.95414280212239
52,DDPG-2,0.2125520422998473,1.0019489845575096,14.882417260667552
52,TD3-1,0.2402558864408434,0.9958239767104152,14.952638156050496
71,Expert,2.1782080427351374,3.075392219636458,14.754853612465084
71,DDPG-1,0.215144631648896,0.9071271752461822,14.743054974410713
71,DDPG-2,0.226607688866967,0.9566163531944394,14.745379196007846
71,TD3-1,0.2105939522038431,0.9005079848739829,14.743050410948667
78,Expert,2.260999337484229,3.339069541487481,22.60425311745057
78,DDPG-1,0.2466514514514622,0.966024644477992,14.764581651010303
78,DDPG-2,0.2762353033974649,1.0733626392065256,14.751174053573235
78,TD3-1,0.2413709765211934,0.9578182522548015,14.76394979936289
89,Expert,2.115514391250484,3.1624757310851592,16.305411995876952
89,DDPG-1,0.201188586496867,0.8657341734876326,14.71122086039628
89,DDPG-2,0.235421956743461,0.9240195409133124,14.71409326020654
89,TD3-1,0.1967719403035865,0.8571971786847814,14.71123007394172
49,Expert,1.991903468812211,2.8443393233450567,15.346660069750683
49,DDPG-1,0.2301757445884893,1.0381648808071915,14.683742440996523
49,DDPG-2,0.2221464395912628,1.051859776663432,14.677309812224436
49,TD3-1,0.2242619339314432,1.0291423050852386,14.683736183257253
84,Expert,1.8443175328409005,2.707037052007722,15.98307883931183
84,DDPG-1,0.2191363091483038,0.8955929632948003,14.674009124228675
84,DDPG-2,0.239983406408425,0.9291226965055738,14.75087045772294
84,TD3-1,0.2141089989584965,0.8867477630641928,14.673847362902675
13,Expert,2.095505421007676,3.2606477917901646,18.764257560844182
13,DDPG-1,0.2959757454178643,1.269563019610355,14.72416394995092
13,DDPG-2,0.3444710016574852,1.440350527507836,14.85999485372986
13,TD3-1,0.2881009944123401,1.259728750985864,14.722529159815394
30,Expert,1.6748306723355575,2.550246825088028,14.734458801555746
30,DDPG-1,0.1764731795920017,0.752405297532078,14.737528647736497
