seed,policy,mae,rmse,overshoot
52,DDPG-2,0.7301056492083607,1.3611879031136396,15.593769764683444
52,TD3-1,0.3012891133194394,1.0048507511970783,15.16643020657763
52,TD3-2,2.061003250821309,3.0208424204624,16.698226595193816
71,Expert,2.1782080427351374,3.075392219636458,14.754853612465084
71,DDPG-1,0.2664895915377566,0.9187380007997256,14.7440309535111
71,DDPG-2,0.7474951955531669,1.3554616192862314,14.64375560619213
71,TD3-1,0.2694240517442058,0.9192781571472406,14.743220565480854
71,TD3-2,2.149218413741483,3.038592790044438,14.755114864190446
78,Expert,2.260999337484229,3.339069541487481,22.60425311745057
78,DDPG-1,0.3094130311134974,0.9844538820920256,14.829454744910649
78,DDPG-2,0.8204749635513939,1.514169144600363,16.897305282962037
78,TD3-1,0.3127074098056129,0.984696472984424,14.833551909447934
78,TD3-2,2.2316320640694878,3.3020356955435863,22.49494982404579
89,Expert,2.115514391250484,3.1624757310851592,16.305411995876952
89,DDPG-1,0.2535581603846646,0.8817827316429949,14.715667416383866
89,DDPG-2,0.7531559217635863,1.3916738114711946,15.018679982575776
89,TD3-1,0.2565741644605696,0.8826623372610126,14.715264757178844
89,TD3-2,2.0878914252497034,3.1254452084879407,16.28003585751695
49,Expert,1.991903468812211,2.8443393233450567,15.346660069750683
49,DDPG-1,0.2711055970423397,1.0403900734844054,14.689753634172035
49,DDPG-2,0.7229885059581428,1.3888386419479029,14.76170963332713
49,TD3-1,0.2738727236383642,1.0408379046417051,14.689836989817422
49,TD3-2,1.9648299721394429,2.813461030795781,15.33556568738365
84,Expert,1.8443175328409005,2.707037052007722,15.98307883931183
84,DDPG-1,0.2749836538695901,0.9188791444917648,14.717804909979506
84,DDPG-2,0.6956682208032163,1.288949441031196,15.315978146206078
84,TD3-1,0.2787173421634994,0.9210526117972716,14.717949710574828
84,TD3-2,1.819844580179576,2.679568956963326,15.997798654947855
13,Expert,2.095505421007676,3.2606477917901646,18.764257560844182
13,DDPG-1,0.3400086887780742,1.2759042131621148,14.741660301180133
13,DDPG-2,0.7947383535842766,1.7101192970969454,15.55202795989088
13,TD3-1,0.3427115450880253,1.276318786038362,14.754423222076367
13,TD3-2,2.069074329658056,3.229651958159761,18.706529692051674
30,Expert,1.6748306723355575,2.550246825088028,14.734458801555746
30,DDPG-1,0.2216845051051128,0.7585034865179179,14.771290786562432
30,DDPG-2,0.6424812839031568,1.1682011696256387,14.75614970817952
30,TD3-1,0.2253869184201132,0.7604149987370853,14.772525651668218
30,TD3-2,1.6563654914494823,2.524818527046924,14.738630434781385
81,Expert,2.330929975361112,3.25752006671408,21.07312774327785
81,DDPG-1,0.294277679183539,0.917348603470168,17.330007053574818
81,DDPG-2,0.8379454393628031,1.3927075440684271,19.397355004590693
81,TD3-1,0.2987908098463022,0.9191569518548972,17.313899454961557
81,TD3-2,2.300566589383303,3.2180641768111653,21.1133268803942
62,Expert,1.7055325843434372,2.630272972882279,16.132292916630192
62,DDPG-1,0.2383975603923434,0.864288137042095,14.739770975786456
62,DDPG-2,0.611072155231029,1.2003000142268851,15.145159764090252
62,TD3-1,0.2414498821738702,0.8661374470298923,14.74185197985956
62,TD3-2,1.6815089342977798,2.5999134795731798,16.119764449043743
